"index","Requirement","Format","Term","Description"
"sieving","X","{{text}|{float} {unit}};{float} {unit}","composite design/sieving (if any)","collection design of pooled samples and/or sieve size and amount of sample sieved "
"water_content","X","{float} {unit}","water content","water content measurement"
"water_content_soil_meth","X","{PMID|DOI|URL}","water content method","reference or method used in determining the water content of soil"
"samp_vol_we_dna_ext","X","{float} {unit}","sample volume or weight for DNA extraction","volume (mL) or weight (g) of sample processed for DNA extraction"
"pool_dna_extracts","X","{boolean};{float} {unit}","pooling of DNA extracts (if done)","were multiple DNA extractions mixed? how many?"
"store_cond","X","{text};{period}","storage conditions (fresh/frozen/other)","explain how and for how long the soil sample was stored before DNA extraction."
"link_climate_info","X","{PMID|DOI|URL}","link to climate information","link to climate resource"
"annual_season_temp","X","{float} {unit}","mean annual and seasonal temperature","mean annual and seasonal temperature"
"annual_season_precpt","X","{float} {unit}","mean annual and seasonal precipitation","mean annual and seasonal precipitation"
"link_class_info","X","{PMID|DOI|URL}","link to classification information","link to digitized soil maps or other soil classification information"
"fao_class","X","{term}","soil_taxonomic/FAO classification","soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups"
"local_class","X","{text}","soil_taxonomic/local classification","soil classification based on local soil classification system"
"local_class_meth","X","{PMID|DOI|URL}","soil_taxonomic/local classification method","reference or method used in determining the local soil classification "
"soil_type","X","{text}","soil type","soil series name or other lower-level classification"
"soil_type_meth","X","{PMID|DOI|URL}","soil type method","reference or method used in determining soil series name or other lower-level classification"
"slope_gradient","X","{float} {unit}","slope gradient","commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer"
"slope_aspect","X","{float} {unit}","slope aspect","the direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., NW or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration."
"profile_position","X","[summit|shoulder|backslope|footslope|toeslope]","profile position","cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas"
"drainage_class","X","[very poorly|poorly|somewhat poorly|moderately well|well|excessively drained]","drainage classification","drainage classification from a standard system such as the USDA system"
"texture","X","{float} {unit}","texture","the relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional."
"texture_meth","X","{PMID|DOI|URL}","texture method","reference or method used in determining soil texture"
"ph","X","{float}","pH","pH measurement"
"ph_meth","X","{PMID|DOI|URL}","pH method","reference or method used in determining pH"
"tot_org_carb","X","{float} {unit}","total organic carbon","Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content"
"tot_org_c_meth","X","{PMID|DOI|URL}","total organic carbon method","reference or method used in determining total organic carbon"
"tot_nitro","X","{float} {unit}","total nitrogen","total nitrogen content of the sample"
"tot_n_meth","X","{PMID|DOI|URL}","total nitrogen method","reference or method used in determining the total nitrogen"
"microbial_biomass","X","{float} {unit}","microbial biomass","the part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units"
"microbial_biomass_meth","X","{PMID|DOI|URL}","microbial biomass method","reference or method used in determining microbial biomass"
"link_addit_analys","X","{PMID|DOI|URL}","links to additional analysis","link to additional analysis results performed on the sample"
"extreme_salinity","X","{float} {unit}","extreme_unusual_properties/salinity","measured salinity "
"salinity_meth","X","{PMID|DOI|URL}","extreme_unusual_properties/salinity method","reference or method used in determining salinity"
"heavy_metals","X","{text};{float} {unit}","extreme_unusual_properties/heavy metals","heavy metals present and concentrationsany drug used by subject and the frequency of usage; can include multiple heavy metals and concentrations"
"heavy_metals_meth","X","{PMID|DOI|URL}","extreme_unusual_properties/heavy metals method","reference or method used in determining heavy metals"
"al_sat","X","{float} {unit}","extreme_unusual_properties/Al saturation","aluminum saturation (esp. for tropical soils)"
"al_sat_meth","X","{PMID|DOI|URL}","extreme_unusual_properties/Al saturation method","reference or method used in determining Al saturation"
"misc_param","X","{text};{float} {unit}","miscellaneous parameter","any other measurement performed or parameter collected, that is not listed here"
