"index","Requirement","Format","Terms","Description"
"n_alkanes","X","{text};{float} {unit}",,"concentration of n-alkanes; can include multiple n-alkanes"
"nitrate","X","{float} {unit}",,"concentration of nitrate"
"nitrite","X","{float} {unit}",,"concentration of nitrite"
"nitro","X","{float} {unit}",,"concentration of nitrogen (total)"
"org_carb","X","{float} {unit}",,"concentration of organic carbon"
"org_matter","X","{float} {unit}",,"concentration of organic matter "
"org_nitro","X","{float} {unit}",,"concentration of organic nitrogen"
"organism_count","X","{text};{float} {unit}",,"total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts"
"oxy_stat_samp","X","[aerobic|anaerobic]",,"oxygenation status of sample"
"part_org_carb","X","{float} {unit}",,"concentration of particulate organic carbon"
"perturbation","X","{text};{interval}",,"type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types"
"petroleum_hydrocarb","X","{float} {unit}",,"concentration of petroleum hydrocarbon"
"ph","X","{float}",,"pH measurement"
"phaeopigments","X","{text};{float} {unit}",,"concentration of phaeopigments; can include multiple phaeopigments"
"phosphate","X","{float} {unit}",,"concentration of phosphate"
"phosplipid_fatt_acid","X","{text};{float} {unit}",,"concentration of phospholipid fatty acids; can include multiple values"
"potassium","X","{float} {unit}",,"concentration of potassium "
"pressure","X","{float} {unit}",,"pressure to which the sample is subject, in atmospheres"
"redox_potential","X","{float} {unit}",,"redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential"
"salinity","X","{float} {unit}",,"salinity measurement"
"samp_store_dur","X","{interval}",,"duration for which sample was stored"
"samp_store_loc","X","{text}",,"location at which sample was stored, usually name of a specific freezer/room"
"samp_store_temp","X","{float} {unit}",,"temperature at which sample was stored, e.g. -80 degree Celsius"
"samp_vol_we_dna_ext","X","{float} {unit}",,"volume (mL) or weight (g) of sample processed for DNA extraction"
"silicate","X","{float} {unit}",,"concentration of silicate"
"sodium","X","{float} {unit}",,"sodium concentration"
"sulfate","X","{float} {unit}",,"concentration of sulfate"
"sulfide","X","{float} {unit}",,"concentration of sulfide"
"temp","X","{float} {unit}",,"temperature of the sample at time of sampling"
"tot_carb","X","{float} {unit}",,"total carbon content"
"tot_nitro","X","{float} {unit}",,"total nitrogen content of the sample"
"tot_org_carb","X","{float} {unit}",,"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content"
"turbidity","X","{float} {unit}",,"turbidity measurement"
"water_content","X","{float} {unit}",,"water content measurement"
